,itemFilter,item,manu,descr,stockQty,firmName,link,quantity,price
0,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,800,$1.5800
1,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,500,$1.9265
2,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,100,$2.3423
3,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,25,$2.7584
4,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,10,$2.9108
5,FDP085N10A,FDP085N10A-F102,onsemi,"MOSFET, N-CH, 100V, 96A, TO-220",2,element14 Asia-Pacific Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg-h0Fm8B84J40opc2rfu4DBBagjj3uSiViYknSeTTwW1nW41_tQpnbbCy9y7f-9Qxi34d-NKDUTylF3JyVjQuONxP-O4m6lEvyn_oKE3ZiDSg5bJMhAANpAGQ39tuRSKSZNYTHKQyAQx801qL5C6QakH6lvk5mklFZlU8bbt8fyB5mwKb9bw25r-aoApbhLtV30El5ofsuB8kswXuDURX5iGAJSbIzYgsBVhbA4PFC1-6pTOTkvH8FrqVCcRSadiXH1ks3f8ucL2KwLI3y-yWEePJk0aGL94xR41d5EEcOY3,1,$3.2293
6,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,1,$3.0200
7,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,10,$2.7300
8,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,25,$2.5700
9,FDP085N10A,FDP085N10A-F102,onsemi,MOSFET 100V N-CHANNEL POWERTRENCH MOSFET,18,Mouser Electronics ECIA (NEDA) Member • Authorized Distributor,http://analytics.supplyframe.com/trackingservlet/track/?r=mk39-BIyByk9P2gCOsCTg0s8FUKZgM5rJugkYW1NY7qRObL5oZAXHHIl3cdl2uRgzw_HYYHxHl4gqRtB6mQLqyYv6ENsgD8sE1xJIO-OaV9qRMnoPNfRWwAGqiPVyn19YFiUR37R2TLZvzHzsz8I_i-gcZF0DnjUJZP6Vjnc0IXwJtgE3BYIHbe5Vsx3_fPj_CTzB-EnazVBhi8QE5_XOEHWypAPK5HO-qFzYedBLcNoDaaR-gwA2sJzEUcpgTKESfM1zeGo90puEhnVcK6ip0mHF8_wT4V6wG24pkS5XqXcVLcPG4zTEdFckjNxrSZwQU5rhFNXtj1WxM7PWM-UpzDTms7B_gQc2qaNzD4fhuXNXi0E9KJa6hQs0U6umfnnUv3XYmhIXOIbisfoi5yMPg,100,$2.1900
